Clapeyron Database File
PCSAFT Parameters [csvtype = like, grouptype = unknown]
species,Mw,segment,sigma,epsilon,n_e,n_H
methanol,32.042,3.3941163862140176,3.0176708364406193,311.76429236460433,1,1
hexane,86.18,3.0576,3.7983,236.77,0,0
