x1_phase1,x2_phase1,x3_phase1,x1_phase2,x2_phase2,x3_phase2,gibbs_phase1,gibbs_phase2,gibbs_phase1_RT,gibbs_phase2_RT
0.9538,0.0462,0.0,0.0768,0.9232,0.0,-101.11527651336417,-142.2884331140849,-0.03946795111341323,-0.05553891672747036
0.95,0.0485,0.0015,0.0901,0.8965,0.0134,-117.17401279213685,-291.8843974146978,-0.045736098125897816,-0.11393015501875021
0.9501,0.0485,0.0014,0.0877,0.8966,0.0157,-116.3487499670102,-312.991055619137,-0.045413976346074456,-0.12216863868714259
0.9502,0.0479,0.0018,0.0944,0.8812,0.0243,-119.52591146735034,-380.56267259733613,-0.046654106018847195,-0.14854361749855263
0.9488,0.0488,0.0024,0.0953,0.8641,0.0406,-123.97776668392484,-495.5637019665719,-0.048391782165423655,-0.1934315430588146
0.9503,0.0483,0.0014,0.0977,0.8593,0.043,-116.3458105498323,-510.5318779413724,-0.04541282901426189,-0.19927401570984188
0.9489,0.0475,0.0036,0.1024,0.8252,0.0724,-131.69479505721836,-683.3198883374798,-0.05140394124840571,-0.2667177193958638
0.9492,0.0467,0.0041,0.1108,0.805,0.0842,-134.53395831947566,-744.6224764915332,-0.05251214132164548,-0.2906457314215255
0.9482,0.0479,0.0039,0.1077,0.8252,0.0671,-133.51915768733573,-652.611062139656,-0.05211603795210303,-0.2547312570835561
