tie_id,g1_RT,g2_RT,tmin,tmax
1,-0.03543623923053247,-0.048179883826652885,-0.04574727959138353,1.0646235842771485
2,-0.040647808170715186,-0.10323711807456794,-0.04975181807687868,1.0888686339295885
3,-0.040307718577103205,-0.1086383844921684,-0.04919550873943744,1.0906602805336982
4,-0.04097974558126713,-0.13295855850477611,-0.04993568003742252,1.0919474585950886
5,-0.04248193303343611,-0.1692526357336672,-0.048287345385347284,1.0962793360045793
6,-0.0444902308729456,-0.19792965297415882,-0.05155393053016453,1.1054276125448443
7,-0.04500526124176887,-0.23537759206829795,-0.04591836734693878,1.0926455450074344
8,-0.045251423276112854,-0.22626950766437448,-0.05100182149362477,1.1011870462141293
9,-0.045769541019104014,-0.23167269551244746,-0.051785495152779484,1.0952053223216334
