x1,x2,x3,gibbs_e_mix,gibbs_e_mix_RT
0.9588,0.0412,0.0,-89.31311110162642,-0.03543623923053247
0.9557,0.0431,0.0012,-102.44829265236149,-0.040647808170715186
0.9564,0.0425,0.0011,-101.59113454759841,-0.040307718577103205
0.956,0.0427,0.0013,-103.28490408379884,-0.04097974558126713
0.9576,0.0406,0.0018,-107.07100096440229,-0.04248193303343611
0.9552,0.0423,0.0025,-112.13269294865557,-0.0444902308729456
0.9553,0.042,0.0027,-113.43076987640671,-0.04500526124176887
0.9555,0.0417,0.0028,-114.05119398460113,-0.045251423276112854
0.9548,0.0422,0.003,-115.35705229655264,-0.045769541019104014
