Clapeyron Database File
SAFTVRMie Parameters [csvtype = like, grouptype = unknown]
species,Mw,segment,sigma,lambda_a,lambda_r,epsilon,n_e,n_H
ethanol,46.069,1.6877280932735539,3.651303405347803,6.0,13.501576951339334,277.3778611074806,1,1
heptane,100.2,2.3949,4.4282,6.0,17.092,358.51,0,0
