tie_id,t,gibbs_e_mix_RT
1,-0.04117389399912396,1.3578517862144367e-7
1,-0.03842940685045949,-0.008566832539594066
1,-0.035684919701795006,-0.013709398142005667
1,-0.032940432553130526,-0.01759051738136354
1,-0.030195945404466053,-0.020669804501147623
1,-0.02745145825580158,-0.02316544908052721
1,-0.024706971107137096,-0.02520588713438758
1,-0.02196248395847262,-0.026875923690297655
1,-0.019217996809808145,-0.028235781446853785
1,-0.01647350966114367,-0.029330444204045198
1,-0.013729022512479188,-0.03019478905788243
1,-0.010984535363814704,-0.03085664325772929
1,-0.00824004821515023,-0.031338719753265534
1,-0.0054955610664857504,-0.031659902935089725
1,-0.002751073917821277,-0.03183613639534795
1,-6.586769156796679e-6,-0.03188105575482616
1,0.0027379003795076767,-0.03180645199963742
1,0.005482387528172157,-0.031622618544071154
1,0.00822687467683663,-0.03133861635925319
1,0.01097136182550111,-0.030962480010108203
1,0.013715848974165584,-0.03050138020146008
1,0.016460336122830065,-0.029961753737448017
1,0.019204823271494545,-0.02934940867324139
1,0.02194931042015902,-0.028669610310434347
1,0.024693797568823492,-0.027927152209518975
1,0.027438284717487965,-0.02712641534693756
1,0.03018277186615246,-0.026271417792081638
1,0.03292725901481693,-0.025365856730350664
1,0.035671746163481406,-0.024413144251807847
1,0.03841623331214588,-0.023416438020325156
1,0.04116072046081036,-0.02237866770702704
1,0.04390520760947484,-0.021302557894874306
1,0.046649694758139314,-0.020190648024196695
1,0.04939418190680379,-0.019045309842039802
1,0.052138669055468274,-0.017868762733908573
1,0.054883156204132755,-0.01666308724961778
1,0.05762764335279723,-0.015430237081489327
1,0.0603721305014617,-0.014172049709988603
1,0.06311661765012617,-0.012890255897080928
1,0.06586110479879065,-0.01158648817898867
1,0.06860559194745514,-0.010262288486754714
1,0.07135007909611962,-0.008919115003711625
1,0.0740945662447841,-0.007558348352979246
1,0.07683905339344857,-0.006181297194788822
1,0.07958354054211304,-0.004789203302328193
1,0.08232802769077752,-0.0033832461753706532
1,0.085072514839442,-0.001964547243118274
1,0.08781700198810648,-0.0005341737008823332
1,0.09056148913677095,0.0009068579803670247
