x1_phase1,x2_phase1,x3_phase1,x1_phase2,x2_phase2,x3_phase2,gibbs_phase1,gibbs_phase2,gibbs_phase1_RT,gibbs_phase2_RT
0.9473,0.0527,0.0,0.0825,0.9175,0.0,-115.02491428685585,-168.71870482209124,-0.04416627970162189,-0.06478316071146495
0.9439,0.0553,0.0008,0.0978,0.8888,0.0133,-125.17305431985068,-320.9781350317868,-0.04806287544287769,-0.12324643037390053
0.9429,0.0555,0.0017,0.1018,0.8819,0.0163,-133.25470114258496,-346.724745161196,-0.051165996851274986,-0.133132392831636
0.9425,0.0552,0.0023,0.1001,0.8748,0.025,-137.87721803278063,-418.11514578306833,-0.05294091122668333,-0.16054426634986527
0.9417,0.0552,0.0031,0.1158,0.8419,0.0423,-143.4776660532016,-536.8458222904314,-0.055091323207060464,-0.2061334528343643
0.9427,0.0541,0.0032,0.1048,0.841,0.0542,-144.04926977217372,-614.7071315387302,-0.05531080269884822,-0.23602997032812092
0.9416,0.0538,0.0046,0.114,0.8211,0.0648,-152.54696048805266,-675.8366878018455,-0.05857367307177814,-0.2595019728650644
0.9404,0.0543,0.0053,0.1152,0.8085,0.0763,-156.49231734463888,-740.0715048928168,-0.06008857734735221,-0.284166306812293
0.9415,0.0532,0.0053,0.1324,0.7775,0.0902,-156.31515844144508,-810.5262356936564,-0.060020553391684855,-0.3112189098604653
