z1,z2,z3,gibbs_e_mix,gibbs_e_mix_RT
0.12,0.18,0.7,-1710.6655585414192,-0.6787307398454545
0.12,0.2,0.68,-1753.3318202623268,-0.6956591822517908
0.12,0.22,0.66,-1788.920409332146,-0.7097794579940637
0.12,0.24,0.64,-1817.8860735261696,-0.7212719946797778
0.12,0.26,0.62,-1840.607321238036,-0.730286970864156
0.12,0.28,0.6,-1857.4042897107865,-0.736951405523372
0.12,0.3,0.58,-1868.5514739984865,-0.7413742084499916
0.12,0.32,0.56,-1874.2870312444575,-0.7436498718568723
0.12,0.34,0.54,-1874.819725611229,-0.7438612258762859
0.12,0.36,0.52,-1870.3341981276026,-0.7420815294462282
0.12,0.38,0.5,-1860.9950126533695,-0.7383760756041079
0.12,0.4,0.48,-1846.9497811250549,-0.7328034314721703
0.12,0.42,0.46,-1828.3315736385339,-0.7254163944918401
0.12,0.44,0.44,-1805.2607518894401,-0.716262719867119
0.12,0.46,0.42,-1777.8463161028885,-0.7053856549779908
0.12,0.48,0.4,-1746.186818280661,-0.6928243017241509
0.12,0.5,0.38,-1710.3708631963018,-0.678613815301892
0.12,0.52,0.36,-1670.4771890861412,-0.662785436219408
0.12,0.54,0.34,-1626.574288788659,-0.6453663399784816
0.12,0.56,0.32,-1578.7194951899182,-0.6263792742120327
0.12,0.58,0.3,-1526.9574070685885,-0.6058419341158826
0.12,0.6,0.28,-1471.317465253749,-0.5837660007551013
0.12,0.62,0.26,-1411.8103925073356,-0.5601557285370483
0.12,0.64,0.24,-1348.4230638871104,-0.5350059099553758
0.12,0.66,0.22,-1281.1111429726789,-0.5082989539086163
0.12,0.68,0.2,-1209.7884403090266,-0.48000066351224363
0.12,0.7,0.18,-1134.3113036144568,-0.45005404269303373
0.12,0.72,0.16,-1054.4551928026958,-0.4183700019979835
0.12,0.74,0.14,-969.8784077963828,-0.38481296709162205
0.12,0.76,0.12,-880.0635223567269,-0.34917764180012006
0.12,0.78,0.1,-784.2173767299,-0.3111493287801872
0.12,0.8,0.08,-681.0867166586777,-0.27023078169108006
0.12,0.82,0.06,-568.5790324596915,-0.2255917677392318
0.12,0.84,0.04,-442.8393273654792,-0.17570276246849315
0.12,0.86,0.02,-295.20454846958773,-0.11712657718984253
0.12,0.88,0.0,-82.80602932507463,-0.03285446256098895
0.14,0.0,0.86,-824.2811299597379,-0.32704518915739555
0.14,0.02,0.84,-1045.4196194075848,-0.41478501053967615
0.14,0.04,0.82,-1194.678493107138,-0.47400557838753465
0.14,0.06,0.8,-1315.5526757729604,-0.5219641188628218
0.14,0.08,0.78,-1417.2787448926538,-0.5623253746386436
0.14,0.1,0.76,-1504.2380841978666,-0.5968277216394352
0.14,0.12,0.74,-1579.0074391049711,-0.6264935200302887
0.14,0.14,0.72,-1643.28660567131,-0.6519971879228132
0.14,0.16,0.7,-1698.2815889626509,-0.6738172248731955
0.14,0.18,0.68,-1744.8925613115134,-0.6923107869778969
0.14,0.2,0.66,-1783.8171183855447,-0.7077546551782599
0.14,0.22,0.64,-1815.6117903180202,-0.7203696406709663
0.14,0.24,0.62,-1840.7309941131753,-0.7303360398254283
0.14,0.26,0.6,-1859.5529081857603,-0.737803900273081
0.14,0.28,0.58,-1872.3973309259454,-0.742900106545432
0.14,0.3,0.56,-1879.5383964831199,-0.7457334252410154
0.14,0.32,0.54,-1881.2138613232564,-0.7463981895982872
0.14,0.34,0.52,-1877.6320255545033,-0.7449770456293845
0.14,0.36,0.5,-1868.9769715341718,-0.7415430306114924
0.14,0.38,0.48,-1855.4125686536572,-0.7361611620418678
0.14,0.4,0.46,-1837.08554441472,-0.7288896561307617
0.14,0.42,0.44,-1814.12782328518,-0.7197808557754753
0.14,0.44,0.42,-1786.6582663831177,-0.7088819208046558
0.14,0.46,0.4,-1754.7838946909578,-0.696235313305774
0.14,0.48,0.38,-1718.6006384311404,-0.681879094950514
0.14,0.5,0.36,-1678.1936198738513,-0.6658470392027371
0.14,0.52,0.34,-1633.6369415994996,-0.6481685473086277
0.14,0.54,0.32,-1584.9929125084127,-0.6288683412050992
0.14,0.56,0.3,-1532.3105940993155,-0.6079658867352329
0.14,0.58,0.28,-1475.6234819240417,-0.5854744737326637
0.14,0.6,0.26,-1414.9460395947517,-0.5613998408399528
0.14,0.62,0.24,-1350.2686553260883,-0.5357381744454014
0.14,0.64,0.22,-1281.5503590960016,-0.5084732191136685
0.14,0.66,0.2,-1208.7082591172457,-0.47957208635652554
0.14,0.68,0.18,-1131.6020092653816,-0.44897909186537177
0.14,0.7,0.16,-1050.010462474027,-0.4166064924158048
0.14,0.72,0.14,-963.5954799828178,-0.3823201266752097
0.14,0.74,0.12,-871.8434515950221,-0.34591621253838234
0.14,0.76,0.1,-773.9653817723129,-0.30708170487339154
0.14,0.78,0.08,-668.712631310189,-0.2653211884268937
0.14,0.8,0.06,-553.9978707328978,-0.21980648572591344
0.14,0.82,0.04,-425.9719773743336,-0.16901040294704245
0.14,0.84,0.02,-275.9786126756512,-0.10949841541357691
0.14,0.86,0.0,-61.15683248301502,-0.024264837712167153
0.16,0.0,0.84,-880.8530432883854,-0.3494908953892815
0.16,0.02,0.82,-1098.6606230976613,-0.435909131291538
0.16,0.04,0.8,-1244.5395700927475,-0.49378866544564387
0.16,0.06,0.78,-1361.9843632095508,-0.540386547144467
0.16,0.08,0.76,-1460.231154687055,-0.5793673503377138
0.16,0.1,0.74,-1543.6609243980492,-0.6124692907131083
0.16,0.12,0.72,-1614.8500357819576,-0.6407145768809894
0.16,0.14,0.7,-1675.497924788011,-0.6647774840749832
0.16,0.16,0.68,-1726.8102575488083,-0.6851363773747507
0.16,0.18,0.66,-1769.6868870388425,-0.7021482861669425
0.16,0.2,0.64,-1804.825106348937,-0.7160898713412691
0.16,0.22,0.62,-1832.7811554597138,-0.7271818289722464
0.16,0.24,0.6,-1854.0091672527124,-0.7356043426995905
0.16,0.26,0.58,-1868.8870330085992,-0.7415073462302306
0.16,0.28,0.56,-1877.7342484958572,-0.7450176040262423
0.16,0.3,0.54,-1880.8246128227802,-0.7462437497538694
0.16,0.32,0.52,-1878.395492278516,-0.745279961843398
0.16,0.34,0.5,-1870.6547114191198,-0.74220869762495
0.16,0.36,0.48,-1857.7857516231306,-0.7371027559288884
0.16,0.38,0.46,-1839.9517029810922,-0.730026845053842
0.16,0.4,0.44,-1817.2982655850428,-0.7210387735707328
0.16,0.42,0.42,-1789.9559962579115,-0.7101903417444202
0.16,0.44,0.4,-1758.0419263688855,-0.6975279834248155
0.16,0.46,0.38,-1721.6606232714585,-0.6830931871874302
0.16,0.48,0.36,-1680.9047238724888,-0.6669227080344415
0.16,0.5,0.34,-1635.8549277201928,-0.6490485646522566
0.16,0.52,0.32,-1586.57939322331,-0.6294977998529315
0.16,0.54,0.3,-1533.132428015986,-0.6082919609579276
0.16,0.56,0.28,-1475.552294871788,-0.5854462292634848
0.16,0.58,0.26,-1413.8578556168086,-0.560968088465709
0.16,0.6,0.24,-1348.0436270825721,-0.5348553630400052
0.16,0.62,0.22,-1278.0725905191375,-0.5070933652740911
0.16,0.64,0.2,-1203.865715991864,-0.4776507389243446
0.16,0.66,0.18,-1125.2865158995446,-0.446473330605796
0.16,0.68,0.16,-1042.1177849065825,-0.41347496103144654
0.16,0.7,0.14,-954.0254983535924,-0.3785231011963956
0.16,0.72,0.12,-860.5004264719219,-0.3414157069921949
0.16,0.74,0.1,-760.7583214731612,-0.3018416170238005
0.16,0.76,0.08,-653.5557696582819,-0.2593074893310251
0.16,0.78,0.06,-536.8112673309101,-0.21298745790120668
0.16,0.8,0.04,-406.68225546453596,-0.16135693312772062
0.16,0.82,0.02,-254.51985308241228,-0.10098434923497022
0.16,0.84,0.0,-37.47164613023415,-0.014867405247163682
0.18,0.0,0.82,-929.3050018176073,-0.3687148947825585
0.18,0.02,0.8,-1143.7400466644685,-0.45379502976920055
0.18,0.04,0.78,-1286.19705097501,-0.5103168597955807
0.18,0.06,0.76,-1400.1700856616735,-0.5555372722654901
0.18,0.08,0.74,-1494.8949187811013,-0.5931206886988606
0.18,0.1,0.72,-1574.7521706468542,-0.6248051821232103
0.18,0.12,0.7,-1642.3178700730932,-0.6516128283815754
0.18,0.14,0.68,-1699.291142986207,-0.674217779701637
0.18,0.16,0.66,-1746.8773689041846,-0.6930982874446587
0.18,0.18,0.64,-1785.976135255507,-0.7086112756381573
0.18,0.2,0.62,-1817.2844868057946,-0.7210333066453091
0.18,0.22,0.6,-1841.3584266085454,-0.7305849825364447
0.18,0.24,0.58,-1858.6518536164076,-0.7374463941366861
0.18,0.26,0.56,-1869.5424164242067,-0.741767378863925
0.18,0.28,0.54,-1874.349343236976,-0.7436745950206561
0.18,0.3,0.52,-1873.3461189188638,-0.7432765515923172
0.18,0.32,0.5,-1866.7697196240551,-0.7406672722176331
