x1,x2,x3,gibbs_e_mix,gibbs_e_mix_RT
0.0582,0.9418,0.0,-121.43205403596221,-0.048179883826652885
0.078,0.9094,0.0126,-260.197707110554,-0.10323711807456794
0.0795,0.9064,0.0142,-273.81100011567025,-0.1086383844921684
0.0805,0.8978,0.0217,-335.10730160715,-0.13295855850477611
0.0841,0.8814,0.0345,-426.58249824940526,-0.1692526357336672
0.0911,0.8628,0.046,-498.85973992285244,-0.19792965297415882
0.081,0.8576,0.0615,-593.2431174331846,-0.23537759206829795
0.0878,0.8545,0.0577,-570.2872007796559,-0.22626950766437448
0.083,0.8571,0.0599,-583.9053365371915,-0.23167269551244746
