x1_phase1,x2_phase1,x3_phase1,x1_phase2,x2_phase2,x3_phase2,gibbs_phase1,gibbs_phase2,gibbs_phase1_RT,gibbs_phase2_RT
0.9624,0.0376,0.0,0.0492,0.9508,0.0,-79.02726989309349,-102.45945704983023,-0.031881015396845014,-0.04133397917170731
0.9615,0.0381,0.0003,0.0646,0.9248,0.0106,-83.22593024646535,-221.68007278793573,-0.03357483014652637,-0.08942970981139195
0.9613,0.0379,0.0008,0.0625,0.9245,0.013,-88.33994211655502,-243.94509858433776,-0.03563791408439407,-0.09841181979933017
0.9614,0.0376,0.001,0.0642,0.9162,0.0195,-90.1225648071517,-297.0327272845234,-0.03635705598974597,-0.11982831957544761
0.9625,0.036,0.0014,0.0696,0.8996,0.0308,-93.309810818205,-377.99664650447176,-0.03764284808770636,-0.15249061398004873
0.9604,0.0378,0.0018,0.077,0.8941,0.0289,-96.42847002209994,-361.64825614045185,-0.038900971039839076,-0.14589538064332808
0.9602,0.0383,0.0015,0.0708,0.902,0.0272,-94.19155522272808,-352.3026730476124,-0.03799855956520913,-0.14212520512191165
