z1,z2,z3,gibbs_e_mix,gibbs_e_mix_RT
0.0,0.0,1.0,0.0008977853576652706,3.447239188527358e-7
0.0,0.02,0.98,-251.37798224110156,-0.0965219608579924
0.0,0.04,0.96,-428.8213122004672,-0.16465512827447168
0.0,0.06,0.94,-577.277012706043,-0.22165787444021018
0.0,0.08,0.92,-706.2932017243729,-0.27119640377143367
0.0,0.1,0.9,-820.4009622675876,-0.31501052264753193
0.0,0.12,0.88,-922.2665278647182,-0.3541239885433365
0.0,0.14,0.86,-1013.6498759064707,-0.3892125824771458
0.0,0.16,0.84,-1095.8006505135054,-0.42075613207676327
0.0,0.18,0.82,-1169.6523847450371,-0.4491130873567761
0.0,0.2,0.8,-1235.92920246024,-0.47456149118382035
0.0,0.22,0.78,-1295.2093894924983,-0.49732338879064486
0.0,0.24,0.76,-1347.9656611079408,-0.5175802893293538
0.0,0.26,0.74,-1394.5919244316901,-0.535483441878223
0.0,0.28,0.72,-1435.4217688659774,-0.5511609352338039
0.0,0.3,0.7,-1470.7416565960593,-0.5647227626882143
0.0,0.32,0.68,-1500.8005878988988,-0.5762645332314396
0.0,0.34,0.66,-1525.8173459324826,-0.5858702533433764
0.0,0.36,0.64,-1545.9860330183146,-0.5936144527680843
0.0,0.38,0.62,-1561.4803710441265,-0.5995638357455223
0.0,0.4,0.6,-1572.4570875532954,-0.6037785811731116
0.0,0.42,0.58,-1579.0586107696763,-0.6063133774182476
0.0,0.44,0.56,-1581.4152309509627,-0.6072182522162207
0.0,0.46,0.54,-1579.6468400899648,-0.6065392406657852
0.0,0.48,0.52,-1573.8643297732706,-0.604318921966936
0.0,0.5,0.5,-1564.1707033406856,-0.6005968464583477
0.0,0.52,0.48,-1550.6619403351433,-0.5954098675414341
0.0,0.54,0.46,-1533.4276365064325,-0.5887923874234893
0.0,0.56,0.44,-1512.551429794843,-0.5807765206832322
0.0,0.58,0.42,-1488.111210521667,-0.5713921749779521
0.0,0.6,0.4,-1460.1791012885224,-0.5606670433254237
0.0,0.62,0.38,-1428.8211775886957,-0.5486264968266473
0.0,0.64,0.36,-1394.09688232591,-0.5352933598577885
0.0,0.66,0.34,-1356.0580642424502,-0.52068754085406
0.0,0.68,0.32,-1314.7475386566002,-0.5048254796740314
0.0,0.7,0.3,-1270.197024290901,-0.48771935540064476
0.0,0.72,0.28,-1222.424245035896,-0.46937597350132443
0.0,0.74,0.26,-1171.4288882779856,-0.44979521394138233
0.0,0.76,0.24,-1117.1869616655385,-0.42896786434348794
0.0,0.78,0.22,-1059.6428523435352,-0.4068725709607157
0.0,0.8,0.2,-998.6980018305476,-0.38347149015297516
0.0,0.82,0.18,-934.1944417931009,-0.3587039665949091
0.0,0.84,0.16,-865.8902410684859,-0.332477105634372
0.0,0.86,0.14,-793.4216562533884,-0.3046512402001905
0.0,0.88,0.12,-716.2422158996542,-0.27501654087429683
0.0,0.9,0.1,-633.5189440286667,-0.2432531686871563
0.0,0.92,0.08,-543.941370622766,-0.20885794060490703
0.0,0.94,0.06,-445.3291915380905,-0.17099368214887703
0.0,0.96,0.04,-333.67765717155,-0.1281226839262652
0.0,0.98,0.02,-200.00982491204786,-0.07679805653328249
0.0,1.0,0.0,0.0012491449524532072,4.796359614781467e-7
0.02,0.0,0.98,-228.7662323675031,-0.08783969514493216
0.02,0.02,0.96,-477.07831485600036,-0.18318443812060592
0.02,0.04,0.94,-651.4119478306457,-0.2501235707693484
0.02,0.06,0.92,-796.7146114509742,-0.30591564088419176
0.02,0.08,0.9,-922.5339957611941,-0.35422668857141476
0.02,0.1,0.88,-1033.4007695615073,-0.39679636116486455
0.02,0.12,0.86,-1131.9807670277078,-0.4346482627991431
0.02,0.14,0.84,-1220.0335821431145,-0.4684580272750698
0.02,0.16,0.82,-1298.8084925539588,-0.4987053415047413
0.02,0.18,0.8,-1369.238682615185,-0.5257485216102705
0.02,0.2,0.78,-1432.0479458759728,-0.549865483628696
0.02,0.22,0.76,-1487.8142565850503,-0.5712781531531638
0.02,0.24,0.74,-1537.0100370860673,-0.5901679268619177
0.02,0.26,0.72,-1580.0289196583763,-0.6066859483003125
0.02,0.28,0.7,-1617.2042356665916,-0.6209602071858299
0.02,0.3,0.68,-1648.8222039103493,-0.633100603357465
0.02,0.32,0.66,-1675.1315926320603,-0.6432026567105669
0.02,0.34,0.64,-1696.3509595337237,-0.6513502871563762
0.02,0.36,0.62,-1712.6741814009874,-0.6576179378396299
0.02,0.38,0.6,-1724.2747454342461,-0.6620722228870566
0.02,0.4,0.58,-1731.3091231795443,-0.664773222900418
0.02,0.42,0.56,-1733.9194494444346,-0.6657755135836357
0.02,0.44,0.54,-1732.2356624806453,-0.6651289875117693
0.02,0.46,0.52,-1726.3772160139342,-0.6628795115015506
0.02,0.48,0.5,-1716.4544410587914,-0.65906944950931
0.02,0.5,0.48,-1702.569611209692,-0.653738071672371
0.02,0.52,0.46,-1684.817746165114,-0.6469218628393089
0.02,0.54,0.44,-1663.2871724494798,-0.638654737871151
0.02,0.56,0.42,-1638.0598459951761,-0.6289681655036529
0.02,0.58,0.4,-1609.2114270062011,-0.6178911970927992
0.02,0.6,0.38,-1576.8110819212889,-0.6054503905743036
0.02,0.62,0.36,-1540.9209686748873,-0.5916696128185354
0.02,0.64,0.34,-1501.595337661147,-0.5765696944263848
0.02,0.66,0.32,-1458.8791487591225,-0.5601678987064664
0.02,0.68,0.3,-1412.8060598304291,-0.5424771493157069
0.02,0.7,0.28,-1363.3955769228069,-0.52350493601896
0.02,0.72,0.26,-1310.649059024674,-0.503251780628939
0.02,0.74,0.24,-1254.5441203435603,-0.4817090876411158
0.02,0.76,0.22,-1195.0267351638868,-0.45885611272475013
0.02,0.78,0.2,-1131.9999594488363,-0.43465563214034164
0.02,0.8,0.18,-1065.3075154312137,-0.40904763969166846
0.02,0.82,0.16,-994.7092905662103,-0.3819399390238833
0.02,0.84,0.14,-919.8435442479649,-0.3531936320827953
0.02,0.86,0.12,-840.1660535123156,-0.32259975280392844
0.02,0.88,0.1,-754.8464047491634,-0.28983944609402706
0.02,0.9,0.08,-662.5770805657139,-0.2544106626427923
0.02,0.92,0.06,-561.1812059441618,-0.21547754465795413
0.02,0.94,0.04,-446.65803499440244,-0.17150392005807277
0.02,0.96,0.02,-310.0353156325168,-0.11904470046774122
0.02,0.98,0.0,-106.9916103730975,-0.04108172058864258
0.04,0.0,0.96,-383.40616033000697,-0.14721700791038989
0.04,0.02,0.94,-628.6104740733572,-0.2413684565072144
0.04,0.04,0.92,-799.7928763098607,-0.307097606613931
0.04,0.06,0.9,-941.9004219540147,-0.3616628427416307
0.04,0.08,0.88,-1064.4803904217988,-0.40873004732708806
0.04,0.1,0.86,-1172.0630557647455,-0.45003871613194313
0.04,0.12,0.84,-1267.3138745042015,-0.4866123082822833
0.04,0.14,0.82,-1351.9920811924385,-0.5191263195676783
0.04,0.16,0.8,-1427.3466132633548,-0.5480603062684121
0.04,0.18,0.78,-1494.3103348787845,-0.5737724615615942
0.04,0.2,0.76,-1553.6067399415115,-0.5965405864286113
0.04,0.22,0.74,-1605.8135237566312,-0.6165864993562262
0.04,0.24,0.72,-1651.4028500860804,-0.6340914977346954
0.04,0.26,0.7,-1690.7681119936897,-0.6492066332574502
0.04,0.28,0.68,-1724.242419143593,-0.6620598105153234
0.04,0.3,0.66,-1752.1117831897209,-0.6727608498092797
0.04,0.32,0.64,-1774.624775392047,-0.6814051953990421
0.04,0.34,0.62,-1791.9997604013115,-0.688076693069685
0.04,0.36,0.6,-1804.4304172888224,-0.6928497100492893
0.04,0.38,0.58,-1812.0900192539157,-0.6957907782942936
0.04,0.4,0.56,-1815.1347920458538,-0.6969598840275198
0.04,0.42,0.54,-1813.7065723822197,-0.6964114884948607
0.04,0.44,0.52,-1807.9349212165616,-0.6941953393996574
0.04,0.46,0.5,-1797.9388005747605,-0.6903571147599422
0.04,0.48,0.48,-1783.8278894586692,-0.6849389281778268
0.04,0.5,0.46,-1765.7035892898057,-0.6779797149011458
0.04,0.52,0.44,-1743.6597493677473,-0.6695155103787463
0.04,0.54,0.42,-1717.7831255634555,-0.6595796263856157
0.04,0.56,0.4,-1688.1535691264762,-0.6482027235194499
0.04,0.58,0.38,-1654.8439253687175,-0.6354127722981198
