x1,x2,x3,gibbs_e_mix,gibbs_e_mix_RT
0.9624,0.0376,0.0,-79.02726989309349,-0.031881015396845014
0.9615,0.0381,0.0003,-83.22593024646535,-0.03357483014652637
0.9613,0.0379,0.0008,-88.33994211655502,-0.03563791408439407
0.9614,0.0376,0.001,-90.1225648071517,-0.03635705598974597
0.9625,0.036,0.0014,-93.309810818205,-0.03764284808770636
0.9604,0.0378,0.0018,-96.42847002209994,-0.038900971039839076
0.9602,0.0383,0.0015,-94.19155522272808,-0.03799855956520913
