x1,x2,x3,gibbs_e_mix,gibbs_e_mix_RT
0.0825,0.9175,0.0,-168.71870482209124,-0.06478316071146495
0.0978,0.8888,0.0133,-320.9781350317868,-0.12324643037390053
0.1018,0.8819,0.0163,-346.724745161196,-0.133132392831636
0.1001,0.8748,0.025,-418.11514578306833,-0.16054426634986527
0.1158,0.8419,0.0423,-536.8458222904314,-0.2061334528343643
0.1048,0.841,0.0542,-614.7071315387302,-0.23602997032812092
0.114,0.8211,0.0648,-675.8366878018455,-0.2595019728650644
0.1152,0.8085,0.0763,-740.0715048928168,-0.284166306812293
0.1324,0.7775,0.0902,-810.5262356936564,-0.3112189098604653
