x1,x2,x3,gibbs_e_mix,gibbs_e_mix_RT
0.9473,0.0527,0.0,-115.02491428685585,-0.04416627970162189
0.9439,0.0553,0.0008,-125.17305431985068,-0.04806287544287769
0.9429,0.0555,0.0017,-133.25470114258496,-0.051165996851274986
0.9425,0.0552,0.0023,-137.87721803278063,-0.05294091122668333
0.9417,0.0552,0.0031,-143.4776660532016,-0.055091323207060464
0.9427,0.0541,0.0032,-144.04926977217372,-0.05531080269884822
0.9416,0.0538,0.0046,-152.54696048805266,-0.05857367307177814
0.9404,0.0543,0.0053,-156.49231734463888,-0.06008857734735221
0.9415,0.0532,0.0053,-156.31515844144508,-0.060020553391684855
