z1,z2,z3,gibbs_e_mix,gibbs_e_mix_RT
0.0,0.0,1.0,0.0008563382580177858,3.342513383674961e-7
0.0,0.02,0.98,-247.2853420978863,-0.09652197105640223
0.0,0.04,0.96,-421.8397296699404,-0.1646551381987091
0.0,0.06,0.94,-567.8784332318392,-0.22165788409028042
0.0,0.08,0.92,-694.7941185501622,-0.2711964131473302
0.0,0.1,0.9,-807.0440984108427,-0.315010531749255
0.0,0.12,0.88,-907.2511975927118,-0.3541239973708838
0.0,0.14,0.86,-997.1467394252395,-0.38921259103052797
0.0,0.16,0.84,-1077.9600226658513,-0.4207561403559687
0.0,0.18,0.82,-1150.60938159137,-0.4491130953618151
0.0,0.2,0.8,-1215.8071506541237,-0.47456149891468746
0.0,0.22,0.78,-1274.1222006587705,-0.49732339624733685
0.0,0.24,0.76,-1326.0195506292948,-0.5175802965118744
0.0,0.26,0.74,-1371.886694518129,-0.5354834487865668
0.0,0.28,0.72,-1412.0517905832385,-0.5511609418679785
0.0,0.3,0.7,-1446.79663714028,-0.5647227690482178
0.0,0.32,0.68,-1476.366180511206,-0.5762645393172772
0.0,0.34,0.66,-1500.9756418616234,-0.5858702591550441
0.0,0.36,0.64,-1520.8159633475516,-0.5936144583055801
0.0,0.38,0.62,-1536.0580385035573,-0.5995638410088425
0.0,0.4,0.6,-1546.8560432035447,-0.6037785861622633
0.0,0.42,0.58,-1553.35008680799,-0.6063133821332237
0.0,0.44,0.56,-1555.6683383286036,-0.6072182566570261
0.0,0.46,0.54,-1553.9287378055378,-0.6065392448324166
0.0,0.48,0.52,-1548.2403714077118,-0.6043189258593987
0.0,0.5,0.5,-1538.7045654851754,-0.6005968500766368
0.0,0.52,0.48,-1525.4157369450804,-0.595409870885558
0.0,0.54,0.46,-1508.4620228354142,-0.5887923904934369
0.0,0.56,0.44,-1487.9256993934105,-0.5807765234790089
0.0,0.58,0.42,-1463.883388813796,-0.5713921774995534
0.0,0.6,0.4,-1436.4060394754997,-0.5606670455728585
0.0,0.62,0.38,-1405.5586511015717,-0.5486264987999112
0.0,0.64,0.36,-1371.3996988102372,-0.5352933615568793
0.0,0.66,0.34,-1333.98018719826,-0.5206875422789771
0.0,0.68,0.32,-1293.3422345109175,-0.5048254808247787
0.0,0.7,0.3,-1249.517043060565,-0.48771935627721963
0.0,0.72,0.28,-1202.5220481764063,-0.46937597410372645
0.0,0.74,0.26,-1152.3569423344852,-0.4497952142696131
0.0,0.76,0.24,-1098.9981238008568,-0.42896786439754514
0.0,0.78,0.22,-1042.3908851492815,-0.40687257074060296
0.0,0.8,0.2,-982.4382725216419,-0.38347148965869204
0.0,0.82,0.18,-918.9848894551706,-0.3587039658264531
0.0,0.84,0.16,-851.7927436504688,-0.3324771045917434
0.0,0.86,0.14,-780.5040137835813,-0.3046512388833925
0.0,0.88,0.12,-704.5811254674181,-0.2750165392833235
0.0,0.9,0.1,-623.2046643434733,-0.2432531668220126
0.0,0.92,0.08,-535.0854960591669,-0.20885793846559333
0.0,0.94,0.06,-438.0788138405719,-0.17099367973539153
0.0,0.96,0.04,-328.24506911564595,-0.128122681238606
0.0,0.98,0.02,-196.753472209665,-0.07679805357145046
0.0,1.0,0.0,0.0012370982221909799,4.828719639556228e-7
0.02,0.0,0.98,-225.0417322838839,-0.0878397052801834
0.02,0.02,0.96,-469.2755854267525,-0.18317059996264284
0.02,0.04,0.94,-640.7336678281863,-0.2500951977836751
0.02,0.06,0.92,-783.6315975690814,-0.30587201707048384
0.02,0.08,0.9,-907.3615402411233,-0.3541670670078704
0.02,0.1,0.88,-1016.3803179970128,-0.3967199624681802
0.02,0.12,0.86,-1113.3102754230058,-0.43455427349445425
0.02,0.14,0.84,-1199.882266919638,-0.46834559806971077
0.02,0.16,0.82,-1277.3251342869917,-0.498573585459265
0.02,0.18,0.8,-1346.5567673579353,-0.5255965121995645
0.02,0.2,0.78,-1408.2890689673513,-0.5496922526855917
0.02,0.22,0.76,-1463.0904911320904,-0.5710826886862052
0.02,0.24,0.74,-1511.4256465104045,-0.5899491707382856
0.02,0.26,0.72,-1553.6816341652593,-0.606442793784358
0.02,0.28,0.7,-1590.1862272960861,-0.6206914963225159
0.02,0.3,0.68,-1621.2208464440919,-0.6328051241895672
0.02,0.32,0.66,-1647.030063735714,-0.6428791403171558
0.02,0.34,0.64,-1667.8287245332685,-0.6509974044992632
0.02,0.36,0.62,-1683.807386502609,-0.6572342964033302
0.02,0.38,0.6,-1695.1365405076285,-0.6616563630963619
0.02,0.4,0.58,-1701.969928996983,-0.6643236142985198
0.02,0.42,0.56,-1704.4471806433467,-0.665290550752097
0.02,0.44,0.54,-1702.6959149683134,-0.6646069857119551
0.02,0.46,0.52,-1696.8334257284332,-0.6623187020153574
0.02,0.48,0.5,-1686.9680197258567,-0.6584679746549649
0.02,0.5,0.48,-1673.2000638552236,-0.6530939794687681
0.02,0.52,0.46,-1655.622774571213,-0.6462331012900296
0.02,0.54,0.44,-1634.3227684255398,-0.6379191488363494
0.02,0.56,0.42,-1609.380378252401,-0.6281834781251586
0.02,0.58,0.4,-1580.8697255709303,-0.6170550207343006
0.02,0.6,0.38,-1548.858524422929,-0.6045602072347404
0.02,0.62,0.36,-1513.4075735469341,-0.5907227689727499
0.02,0.64,0.34,-1474.5698703821581,-0.5755633922423501
0.02,0.66,0.32,-1432.3892488698802,-0.5590991865833769
0.02,0.68,0.3,-1386.8983988024374,-0.5413429116813135
0.02,0.7,0.28,-1338.116060352515,-0.5223018823183067
0.02,0.72,0.26,-1286.0430916097575,-0.5019764334293071
0.02,0.74,0.24,-1230.6569595179717,-0.48035776977000594
0.02,0.76,0.22,-1171.9039705597024,-0.45742493334874174
0.02,0.78,0.2,-1109.6881730052119,-0.43314047168247605
0.02,0.8,0.18,-1043.8552054943939,-0.407444133473635
0.02,0.82,0.16,-974.1681912979911,-0.3802434595064344
0.02,0.84,0.14,-900.2705563910849,-0.35139926956331385
0.02,0.86,0.12,-821.6261615640533,-0.3207022944136982
0.02,0.88,0.1,-737.4172777948315,-0.28783335291919043
0.02,0.9,0.08,-646.3567760429896,-0.25229004477198314
0.02,0.92,0.06,-546.3022537852144,-0.21323613393563323
0.02,0.94,0.04,-433.31705561373155,-0.1691350402954253
0.02,0.96,0.02,-298.5738771031072,-0.11654123483201086
0.02,0.98,0.0,-98.47165430830137,-0.03843607585628567
0.04,0.0,0.96,-377.16397819267877,-0.147217017708315
