z1,z2,z3,gibbs_e_mix,gibbs_e_mix_RT
0.0,0.0,1.0,0.0007802117834216915,3.147514005445946e-7
0.0,0.02,0.98,-239.2605531463123,-0.09652199030833365
0.0,0.04,0.96,-408.15034858741274,-0.16465515720264248
0.0,0.06,0.94,-549.4498432411056,-0.2216579028462003
0.0,0.08,0.92,-672.2468946388472,-0.27119643165523744
0.0,0.1,0.9,-780.8541680642229,-0.31501055000916484
0.0,0.12,0.88,-877.8093730995533,-0.3541240153827899
0.0,0.14,0.86,-964.7876486404421,-0.3892126087944224
0.0,0.16,0.84,-1042.97840057539,-0.4207561578718633
0.0,0.18,0.82,-1113.2701616469494,-0.44911311262969916
0.0,0.2,0.8,-1176.3521498235568,-0.4745615159345662
0.0,0.22,0.78,-1232.774775069207,-0.4973234130192103
0.0,0.24,0.76,-1282.9879657369747,-0.5175803130357415
0.0,0.26,0.74,-1327.3666409309299,-0.5354834650624283
0.0,0.28,0.72,-1366.2283096064857,-0.5511609578958326
0.0,0.3,0.7,-1399.8456252370088,-0.5647227848280695
0.0,0.32,0.68,-1428.4555852129852,-0.5762645548491155
0.0,0.34,0.66,-1452.2664264013365,-0.5858702744388796
0.0,0.36,0.64,-1471.462894555123,-0.5936144733414082
0.0,0.38,0.62,-1486.2103374184226,-0.5995638557966665
0.0,0.4,0.6,-1496.6579275915865,-0.6037786007020789
0.0,0.42,0.58,-1502.9412276442526,-0.6063133964250368
0.0,0.44,0.56,-1505.1842472821882,-0.6072182707008302
0.0,0.46,0.54,-1503.501099187466,-0.6065392586282179
0.0,0.48,0.52,-1497.9973294942938,-0.6043189394071935
0.0,0.5,0.5,-1488.7709763375788,-0.6005968633764275
0.0,0.52,0.48,-1475.9133926326504,-0.5954098839373355
0.0,0.54,0.46,-1459.5098552280251,-0.5887924032972093
0.0,0.56,0.44,-1439.6399703548486,-0.5807765360347792
0.0,0.58,0.42,-1416.377873685211,-0.5713921898073204
0.0,0.6,0.4,-1389.7922112005326,-0.5606670576326174
0.0,0.62,0.38,-1359.9458732705352,-0.54862651061166
0.0,0.64,0.36,-1326.8954373948181,-0.5352933731206195
0.0,0.66,0.34,-1290.6902529828549,-0.5206875535947157
0.0,0.68,0.32,-1251.3710714700537,-0.504825491892512
0.0,0.7,0.3,-1208.9680825998184,-0.4877193670969449
0.0,0.72,0.28,-1163.4981558948057,-0.4693759846754472
0.0,0.74,0.26,-1114.9609938107278,-0.4497952245933267
0.0,0.76,0.24,-1063.3337605307133,-0.4289678744732576
0.0,0.78,0.22,-1008.5635239790045,-0.4068725805683055
0.0,0.8,0.2,-950.556476617754,-0.383471499238389
0.0,0.82,0.18,-889.1622648679331,-0.3587039751581441
0.0,0.84,0.16,-824.1506196915234,-0.33247711367542854
0.0,0.86,0.14,-755.1753316848608,-0.3046512477190695
0.0,0.88,0.12,-681.7162716786906,-0.2750165478709966
0.0,0.9,0.1,-602.9806167264178,-0.24325317516167996
0.0,0.92,0.08,-517.7210671128969,-0.2088579465572526
0.0,0.94,0.06,-423.8624187503733,-0.17099368757904657
0.0,0.96,0.04,-317.5929682257088,-0.12812268883425532
0.0,0.98,0.02,-190.36850024921137,-0.07679806091909304
0.0,1.0,0.0,0.001179353530460503,4.7577232661330675e-7
0.02,0.0,0.98,-217.73878626576334,-0.08783972427264393
0.02,0.02,0.96,-453.9841077206729,-0.18314531613891186
0.02,0.04,0.94,-619.8119682377146,-0.2500432436710346
0.02,0.06,0.92,-758.0029592899009,-0.30579196331426567
0.02,0.08,0.9,-877.6442930940684,-0.35405741915336564
0.02,0.1,0.88,-983.0479903871819,-0.39657915754610007
0.02,0.12,0.86,-1076.7511173212188,-0.4343806763959576
0.02,0.14,0.84,-1160.4281707151167,-0.46813749769602664
0.02,0.16,0.82,-1235.2679158199026,-0.49832919062948267
0.02,0.18,0.8,-1302.1582460612117,-0.525313947299023
0.02,0.2,0.78,-1361.7877410233996,-0.5493695530357176
0.02,0.22,0.76,-1414.7061724802843,-0.5707177956149703
0.02,0.24,0.74,-1461.3628295965827,-0.5895399263288648
0.02,0.26,0.72,-1502.1319895160195,-0.6059869352773745
0.02,0.28,0.7,-1537.3305139455188,-0.6201866501454337
0.02,0.3,0.68,-1567.2304003610698,-0.6322487995840721
