branch,x_acetonitrile,x_palmitic_acid
left,0.0,0.03306390787051689
left,0.009746973739227222,0.03504959981650517
left,0.01945298643496804,0.03707717146908225
left,0.029116937414693053,0.03914106531512937
left,0.038737965410984176,0.04123535607814187
left,0.04831546437748304,0.04335380532583578
left,0.05784909568272672,0.04548992123500924
right,0.9670942748571022,0.0026840290536133214
right,0.9774773787763693,0.002368448465354945
right,0.987835544537139,0.0020845009267679406
right,0.998170370774926,0.0018296292250739416
