x_acetonitrile,x_palmitic_acid
0.09744883873023662,0.08793621077689412
0.09651507970086627,0.08617023061271745
0.09559783925366211,0.08442267137469646
0.09469678192806517,0.08269337428522662
0.09381157871655775,0.08098218001462261
0.09294190962179394,0.0792889285841879
0.09208745848897636,0.07761345979941076
0.09124791789589702,0.07595561299161996
0.09042298609990813,0.07431522729511567
0.08961236903588751,0.07269214158855336
0.0888157780608958,0.07108619470411927
0.08803292971324501,0.06949722550066971
0.08726354905128025,0.06792507272841385
0.08650736466186705,0.0663695753797361
0.08576411228558525,0.06483057253515494
0.08503353274458984,0.06330790353445333
0.08431537347883472,0.06180140794530685
0.08360938555527297,0.060310925769693643
0.0829153271366784,0.0588362973104916
0.08223296060682322,0.05737736336400016
0.08156205369829327,0.05593396520532624
0.08090237913441906,0.054505944647262154
0.0802537146892381,0.05309314407696599
0.07961584224198501,0.05169540653595012
0.07898854949953321,0.05031257567908521
0.07837162761819631,0.04894449591332903
0.07776487285431334,0.04759101235821256
0.07716808568107497,0.04625197091462624
0.0765810705520574,0.044927218302997306
0.07600363729687482,0.04361660203684027
0.07543559779010615,0.042319970577967346
0.07487676989869846,0.04103717321066697
0.07432697451673274,0.03976806017790403
0.07378603573885818,0.0385124826948999
0.07325378296067564,0.037270292897152835
0.07273004754509134,0.036041343975906505
0.07221466601455273,0.03482549008858466
0.07170747708174106,0.0336225864750418
0.07120832361716685,0.03243248940970456
0.07071705151978085,0.03125505625320851
0.07023351051052867,0.030090145442828002
0.06975755257369137,0.028937616551858864
0.06928903384313784,0.02779733024721716
0.0688278125706761,0.026669148358627603
0.06837375087686964,0.025552933840734805
0.06792671308690953,0.024448550827637625
0.06748656671315734,0.023355864615387627
0.06705318228513321,0.02227474167510005
0.06662643240990813,0.021205049682581724
0.06620619341956294,0.020146657485179277
0.06579234308989398,0.019099435161524545
0.06538476234301334,0.018063253985649386
0.06498333486203403,0.01703798644125797
0.06458794644590254,0.016023506238911182
0.06419848495864375,0.015019688318442272
0.06381484142883236,0.014026408830035256
0.06343690829462954,0.01304354516918337
0.06306458102882309,0.012070975947334079
0.06269775664177397,0.011108581018873699
0.06233633457697719,0.010156241464941745
0.06198021649263608,0.00921383959700268
0.06162930587401045,0.008281258960957678
0.061283508334426265,0.007358384330906328
0.06094273128467132,0.006445101710886792
0.060606884095895514,0.005541298329909535
0.060275878319123434,0.004646862637245074
0.05994962695761239,0.00376168430568458
0.05962804493464573,0.0028856542227257117
0.05931104892362526,0.002018664487778809
0.05899855730946737,0.0011606084076044815
0.9586729290515535,9.444213576701157e-5
0.9586130877328805,0.0001634112984778969
0.9585535359518138,0.0002323699567116197
0.9584942840556144,0.00030131140638432714
0.9584353424531539,0.00037022887634435804
0.958376721610244,0.00043911553134468116
0.9583184319203789,0.0005079644765119829
0.9582604841876389,0.0005767687556768542
0.9582028889524908,0.0006455213613632212
0.9581456567638938,0.0007142152363959096
0.9580887983411684,0.0007828432754120265
0.958032324322701,0.0008513983321310313
0.9579762455433527,0.0009198732192730883
0.9579205727468012,0.0009882607172843091
0.9578653164629903,0.0010565535818838339
0.9578104877161131,0.001124744535283045
0.957756096932734,0.0011928262922234214
0.9577021551550837,0.00126079154080287
0.9576486728315086,0.0013286329727948117
0.9575956606171546,0.0013963432726560752
0.9575431293425827,0.001463915123005639
0.9574910896212577,0.0015313412196281736
0.9574395516660252,0.0015986142829872195
0.9573885263459473,0.0016657270378228597
0.9573380238470681,0.0017326722531317124
0.957288054656279,0.0017994427244496707
0.9572386290593156,0.0018660312930543288
0.9571897570951038,0.001932430854468315
0.9571414490715269,0.0019986343524588408
0.9570937147648665,0.002064634807112721
0.9570465642956092,0.0021304252997835916
0.9570000071916589,0.0021959990053277718
0.9569540532890736,0.002261349176542847
0.9569087120430122,0.0023264691703674375
0.9568639929089183,0.0023913524462493172
0.9568199048946446,0.002455992586209181
0.9567764573933939,0.0025203832820351177
0.9567336590058495,0.0025845183741707556
0.9566915188319215,0.002648391827972136
0.9566500452016633,0.0027119977744460323
0.9566092465169408,0.0027753304983818556
0.9565691313062715,0.002838384447058121
0.9565297072119295,0.0029011542626971466
0.9564909823974769,0.0029636347600127235
0.9564529644193458,0.003025820961089532
0.9564156607380426,0.0030877080936007645
0.9563790786599687,0.0031492916019978516
0.9563432250953874,0.003210567161561989
0.9563081070875459,0.0032715306788928538
0.9562737311262293,0.003332178313486543
0.9562401036926836,0.0033925064784002825
0.9562072310099272,0.0034525118542016453
0.9561751190936109,0.0035121913979269882
0.956143773689959,0.003571542353378372
0.9561132005972535,0.003630562258084244
0.9560834049625969,0.003689248958754222
0.9560543921972257,0.0037476006138275754
0.9560261672574313,0.003805615708151829
0.9559987350599368,0.0038632930600384138
0.9559721000369173,0.003920631831124201
0.9559462670004502,0.003977631535518244
0.9559212400503598,0.004034292048128965
0.9558970233721235,0.004090613613975219
0.9558736212029242,0.004146596858511703
0.9558510373988705,0.004202242793184383
0.9558292758976635,0.0042575528269369394
0.9558083401523054,0.004312528767881376
0.9557882341427962,0.004367172843498443
0.9557689614024407,0.004421487696173637
0.9557505255437553,0.0044754763983813
