branch,x_acetonitrile,x_palmitic_acid
left,0.0,0.20972754145293096
left,0.007938309534899744,0.21410735604492556
left,0.015792985377205738,0.21824722382831616
left,0.023570870751843397,0.22216126518916798
left,0.0312782868431117,0.2258624006329854
left,0.03892108854078353,0.22936244689248617
left,0.046504714509786674,0.23267221058851997
left,0.054034231934150544,0.23580157693129944
left,0.06151437638910542,0.23875959218482065
left,0.06894958732825607,0.24155453938918325
left,0.07634403966598725,0.24419400730672625
left,0.08370167190729555,0.24668495283434
left,0.0910262112392781,0.24903375727595572
left,0.09832119595708687,0.25124627694218465
left,0.1055899955562133,0.25332788856677724
left,0.11283582878349853,0.25528353002890974
left,0.12006177990615147,0.2571177368306878
left,0.12727081342245744,0.25883467477510075
left,0.13446578741381543,0.2604381692240151
left,0.14164946571071663,0.2619317312967922
left,0.14882452902474239,0.2633185813275251
left,0.1559935851800187,0.26460166986562605
left,0.16315917856161036,0.26578369647275335
left,0.17032379888456625,0.2668671265403452
left,0.177489889375565,0.2678542063257944
left,0.1846598544489892,0.2687469763820029
left,0.19183606695066183,0.26954728353401847
left,0.19902087503514876,0.2702567915377879
left,0.20621660873633585,0.270876990539384
left,0.2134255862857613,0.2714092054382632
left,0.22065012022886912,0.271854603244732
left,0.22789252338574245,0.2722141995100484
left,0.23515511469999278,0.2724888638968974
left,0.2424402250172292,0.2726793249483123
left,0.24975020283277558,0.2727861741045652
left,0.25708742004716384,0.27280986900945076
left,0.2644542777671827,0.27275073614024753
left,0.27185321219004965,0.27260897278878615
left,0.27928670060843097,0.27238464841487703
left,0.28675726757475606,0.27207770538715775
left,0.2942674912642242,0.2716879591210452
left,0.3018200100775772,0.2712150976175576
left,0.30941752952652296,0.27065868040176727
left,0.3170628294472972,0.27001813685389714
left,0.3247587715906944,0.26929276392093754
left,0.3325083076404607,0.26848172319098645
left,0.34031448771594686,0.267584037306984
left,0.3481804694196456,0.2665985856905338
left,0.3561095274955315,0.26552409954046635
left,0.3641050641702288,0.2643591560642317
left,0.37217062025582676,0.26310217189346313
left,0.3803098871008392,0.2617513956277827
left,0.3885267194843829,0.26030489944319424
left,0.39682514955806764,0.25876056969342087
left,0.4052094019505902,0.2571160964239179
left,0.4136839101613751,0.25536896170952483
left,0.4222533343819024,0.25351642671770835
left,0.43092258089644947,0.2515555173903773
left,0.4396968232276923,0.24948300862859418
left,0.4485815252062536,0.2472954068573032
left,0.4575824661561685,0.24498893084232204
left,0.46670576840461053,0.24255949062202548
left,0.47595792732026126,0.24000266444022794
left,0.4853458441093855,0.23731367354239413
left,0.4948768615744488,0.2344873547520246
left,0.5045588030339309,0.23151813076370528
left,0.5144000145608467,0.22839997815872987
left,0.5244094106300522,0.22512639324813194
left,0.5345965231518853,0.22169035599946113
left,0.5449715536907797,0.21808429253062048
left,0.5555454283918306,0.21430003698869676
right,0.8833968990966214,0.0596097525745642
right,0.900532297294425,0.05156704859416945
right,0.9172782515265204,0.04409950630394192
right,0.9335260241710395,0.03730128757361569
right,0.9492033998133946,0.031225396066741552
right,0.9642760947993942,0.025884353212856773
right,0.9787429802651048,0.021257019734895292
