branch,x_acetonitrile,x_palmitic_acid
left,0.0,0.09189533450642827
left,0.009120581989667134,0.09706238302295386
left,0.01813627889667116,0.10225419461477762
left,0.027047152150595506,0.10744397903034845
left,0.035854304884261196,0.11260595411453539
left,0.04455979773799061,0.11771600478778584
left,0.05316653389991435,0.12275219065141317
left,0.061678125338812846,0.12769508449393252
left,0.07009875195566184,0.13252794454868486
left,0.07843302370510016,0.1372367392438982
left,0.0866858532441538,0.14181005288287737
left,0.094862343959328,0.14623890436604808
left,0.10296769575922608,0.15051650998638474
left,0.11100712905585243,0.15463801719004694
left,0.11898582597604303,0.15860023059798142
left,0.12690888700584882,0.1624013457613979
left,0.13478130087202184,0.16604070085436498
left,0.14260792538297917,0.16951855218147438
left,0.150393477077451,0.1728358760740196
left,0.158142527761431,0.17599419745359618
left,0.1658595063059073,0.17899544378575893
left,0.17354870436166955,0.18184182229498647
right,0.9531446431111145,0.0067229508631543675
right,0.9639567986719736,0.005919551369527164
right,0.9746993631483755,0.005203742766090975
right,0.9853786636946104,0.004566451981975271
right,0.9960003946071798,0.003999605392820233
