branch,x_acetonitrile,x_palmitic_acid
left,0.0,0.1718370762825754
left,0.00828888314233744,0.17940056890859346
left,0.016431092138521862,0.18666093914316784
left,0.024436132914645314,0.19360761381670474
left,0.03231362925851471,0.20023767585176086
left,0.04007303641054564,0.2065538790711964
left,0.047723455922646874,0.2125629772763266
left,0.05527352787865045,0.21827439143051522
left,0.06273137868237773,0.2236991888055757
left,0.07010460669047262,0.22884932640480113
left,0.0774002922838544,0.23373710638984152
left,0.08462502274634971,0.23837479528285255
left,0.0917849253072406,0.24277436621526513
left,0.09888570392899201,0.24694733161767632
left,0.10593267700894185,0.250904641151054
left,0.11293081426122155,0.25465662587593785
left,0.11988477178415141,0.2582129745855632
left,0.12679892480385074,0.26158273202463383
left,0.1336773978955195,0.2647743115746428
left,0.14052409267632188,0.2677955171075859
left,0.1473427130790843,0.2706535702585327
left,0.1541367883754702,0.2733551405156404
left,0.1609096941548285,0.27590637630327164
left,0.16766467146665917,0.2783129358609019
left,0.174404844338916,0.28058001710197145
left,0.18113323587290153,0.28271238594331
left,0.18785278310432652,0.2847144027950645
left,0.19456635080386625,0.2865900470524904
left,0.20127674438441603,0.28834293949795753
left,0.20798672205967017,0.28997636262388465
left,0.21469900639652986,0.2914932788914515
left,0.2214162953898291,0.2928963469808684
left,0.22814127318172514,0.2941879360940379
left,0.23487662054223357,0.29537013837329923
left,0.2416250252236073,0.296444779495967
left,0.24838919229940742,0.2974134274959619
left,0.2551718545992766,0.2982773998519893
left,0.2619757833526753,0.29903776886716626
left,0.26880379915933533,0.2996953653480474
left,0.27565878341112754,0.30025078057175314
left,0.28254369029970244,0.3007043665082365
left,0.2894615595570378,0.3010562342403234
left,0.2964155300923897,0.3013062504965101
left,0.3034088547097494,0.3014540321798793
left,0.31044491611557523,0.30149893873995565
left,0.3175272444583564,0.30144006219161584
right,0.9609354999800034,0.009035265645621569
right,0.9720665491708878,0.007890841567856802
right,0.9830820127071709,0.006886538183572391
right,0.9939957658906757,0.006004234109324248
