branch,x_acetonitrile,x_palmitic_acid
left,0.0,0.05886746480418064
left,0.009480062537803325,0.06147380875747082
left,0.018908958028038558,0.06400657761209157
left,0.028289017454151084,0.06646242401301428
left,0.037622676407905134,0.06883875890434803
left,0.046912442276343364,0.07113364292840145
left,0.05616086734221321,0.07334568885348208
left,0.06537052702287639,0.0754739749621768
left,0.07454400251162105,0.07751796891868963
left,0.08368386714678112,0.07947746138540765
left,0.09279267590612507,0.08135250852936171
left,0.10187295749865873,0.0831433825120714
left,0.11092720859827487,0.0848505290642323
left,0.11995788983073051,0.08647453128905236
right,0.9513596907694966,0.008583059092840493
right,0.9625322882211678,0.007388577771920768
right,0.9736165493787192,0.006308882592853587
right,0.9846120602842672,0.005340877876097482
right,0.9955196578593212,0.0044803421406787464
