Clapeyron Estimator,,,
[method = bubble_point],,,
T,x,out_pre,out_y
298.14,0.04198,4440,0.2777
298.14,0.06305,14290,0.5669
298.14,0.07983,23850,0.6894
298.14,0.09096,31730,0.7482
298.14,0.0996,38910,0.787
298.14,0.11253,50820,0.8377
298.14,0.12136,58730,0.8673
298.14,0.12342,61230,0.8764
298.14,0.12866,65530,0.8917
298.14,0.13548,71630,0.9127
298.14,0.14553,80370,0.9415
298.14,0.15226,85970,0.959
298.14,0.1615,93610,0.9817
298.14,0.16918,100000,1
