,Bottom phase,,,,,,Top phase,,,,,
,Mole fraction,,,Uncertainty in mole fraction,,,Mole fraction,,,Uncertainty in mole fraction,,
T,x1,x2,x3,u(x1),u(x2),u(x3),x1,x2,x3,u(x1),u(x2),u(x3)
298.15,0.9636,0.0364,0.,0.0068,0.0067,0.,0.0539,0.9461,0.,0.0049,0.0051,0.
298.15,0.8652,0.0596,0.0752,0.0049,0.0057,0.0019,0.0629,0.9124,0.0247,0.0054,0.0054,0.0012
298.15,0.7666,0.0917,0.1416,0.0047,0.0058,0.0028,0.1118,0.8114,0.0768,0.0055,0.0053,0.0013
298.15,0.7276,0.1092,0.1632,0.0031,0.0037,0.002,0.1307,0.7665,0.1028,0.0045,0.0043,0.0013
298.15,0.9148,0.0474,0.0378,0.0056,0.006,0.0015,0.0595,0.9293,0.0112,0.0054,0.0055,0.0013
298.15,0.6794,0.133,0.1876,0.0045,0.0061,0.0032,0.1626,0.7028,0.1347,0.0053,0.0048,0.0015
